flow_id,dur,tot_pkts,tot_bytes,src_bytes,proto,state,pkt_size_mean,pkt_size_std,pkt_size_min,pkt_size_max,pkt_size_median,pkt_size_iqr,pkt_size_cv,iat_mean,iat_std,iat_min,iat_max,iat_cv,pkt_rate,bytes_rate,avg_pkt_size,syn_count,fin_count,rst_count,flags_variety,payload_entropy_est
1-Neris-20110810.binetflow_1029819,30.001127243041992,2.0,140.0,70.0,udp,CON,70.0,1.9021739130434783,40.0,70.0,55.0,30.0,0.02717391304347826,30.001127243041992,7.500281810760498,6.000225448608399,54.00202903747559,0.25,0.06666416177624958,4.66649132433747,70.0,0.0,0.0,0.0,0.0,3.4285714285714284
1-Neris-20110810.binetflow_1566084,0.0002280000044265762,2.0,206.0,71.0,udp,CON,103.0,2.7989130434782608,40.0,103.0,71.5,63.0,0.02717391304347826,0.001,0.00025,0.0002,0.0018000000000000002,0.25,2000.0,206000.0,103.0,0.0,0.0,0.0,0.0,4.893203883495145
1-Neris-20110810.binetflow_964290,0.06531800329685211,2.0,206.0,69.0,udp,CON,103.0,2.7989130434782608,40.0,103.0,71.5,63.0,0.02717391304347826,0.06531800329685211,0.016329500824213028,0.013063600659370423,0.11757240593433381,0.25,30.619429545489282,3153.8012431853963,103.0,0.0,0.0,0.0,0.0,4.893203883495145
1-Neris-20110810.binetflow_1033100,0.18546299636363983,2.0,217.0,76.0,udp,CON,108.5,2.948369565217391,40.0,108.5,74.25,68.5,0.02717391304347826,0.18546299636363983,0.04636574909090996,0.03709259927272797,0.3338333934545517,0.25,10.783822321508127,1170.0447218836318,108.5,0.0,0.0,0.0,0.0,5.050691244239632
1-Neris-20110810.binetflow_1057269,0.00025099999038502574,2.0,195.0,70.0,udp,CON,97.5,2.6494565217391304,40.0,97.5,68.75,57.5,0.02717391304347826,0.001,0.00025,0.0002,0.0018000000000000002,0.25,2000.0,195000.0,97.5,0.0,0.0,0.0,0.0,4.717948717948718
1-Neris-20110810.binetflow_1601162,0.10011100023984909,2.0,144.0,72.0,udp,CON,72.0,1.9565217391304348,40.0,72.0,56.0,32.0,0.02717391304347826,0.10011100023984909,0.025027750059962273,0.02002220004796982,0.18019980043172837,0.25,19.977824566814206,1438.4033688106229,72.0,0.0,0.0,0.0,0.0,3.5555555555555554
1-Neris-20110810.binetflow_993469,30.00176429748535,2.0,148.0,74.0,udp,CON,74.0,2.010869565217391,40.0,74.0,57.0,34.0,0.02717391304347826,30.00176429748535,7.500441074371338,6.00035285949707,54.00317573547363,0.25,0.0666627462361483,4.933043221474974,74.0,0.0,0.0,0.0,0.0,3.675675675675676
1-Neris-20110810.binetflow_887200,0.3107540011405945,2.0,292.0,70.0,udp,CON,146.0,3.967391304347826,40.0,146.0,93.0,106.0,0.02717391304347826,0.3107540011405945,0.07768850028514862,0.0621508002281189,0.55935720205307,0.25,6.43595896644671,939.6500091012196,146.0,0.0,0.0,0.0,0.0,5.808219178082192
1-Neris-20110810.binetflow_1041330,0.06416799873113632,2.0,168.0,68.0,udp,CON,84.0,2.282608695652174,40.0,84.0,62.0,44.0,0.02717391304347826,0.06416799873113632,0.01604199968278408,0.012833599746227265,0.11550239771604538,0.25,31.168184134586973,2618.1274673053053,84.0,0.0,0.0,0.0,0.0,4.190476190476191
1-Neris-20110810.binetflow_959081,0.0684410035610199,2.0,220.0,72.0,udp,CON,110.0,2.989130434782609,40.0,110.0,75.0,70.0,0.027173913043478264,0.0684410035610199,0.017110250890254974,0.013688200712203981,0.12319380640983582,0.25,29.22224830056534,3214.4473130621873,110.0,0.0,0.0,0.0,0.0,5.090909090909091
1-Neris-20110810.binetflow_1358919,9.040349006652832,3.0,186.0,186.0,tcp,S_,62.0,1.6986301369863013,40.0,62.0,51.0,22.0,0.0273972602739726,4.520174503326416,1.130043625831604,0.9040349006652832,8.13631410598755,0.25,0.33184559553976145,20.57442692346521,62.0,1.0,0.0,0.0,1.0,2.838709677419355
1-Neris-20110810.binetflow_909602,0.1381160020828247,2.0,260.0,79.0,udp,CON,130.0,3.532608695652174,40.0,130.0,85.0,90.0,0.02717391304347826,0.1381160020828247,0.03452900052070618,0.027623200416564943,0.24860880374908448,0.25,14.480581321783772,1882.4755718318904,130.0,0.0,0.0,0.0,0.0,5.538461538461538
1-Neris-20110810.binetflow_945760,0.10325799882411957,2.0,194.0,70.0,udp,CON,97.0,2.635869565217391,40.0,97.0,68.5,57.0,0.02717391304347826,0.10325799882411957,0.025814499706029892,0.020651599764823916,0.18586439788341522,0.25,19.368959526386146,1878.789074059456,97.0,0.0,0.0,0.0,0.0,4.701030927835052
1-Neris-20110810.binetflow_1056018,0.03055099956691265,2.0,193.0,71.0,udp,CON,96.5,2.6222826086956523,40.0,96.5,68.25,56.5,0.027173913043478264,0.03055099956691265,0.007637749891728163,0.00611019991338253,0.054991799220442776,0.25,65.46430651539272,6317.305578735398,96.5,0.0,0.0,0.0,0.0,4.683937823834197
